"SaID","AccID","Longitude","Latitude","ASV37_bacteria_rhizosphere_CK_pred","ASV37_bacteria_rhizosphere_LN_pred","ASV37_bacteria_rhizosphere_LP_pred","ASV37_bacteria_root_CK_pred","ASV37_bacteria_root_LN_pred","ASV37_bacteria_root_LP_pred","ASV7_bacteria_rhizosphere_CK_pred","ASV7_bacteria_rhizosphere_LN_pred","ASV7_bacteria_root_D_pred","ASV7_bacteria_root_LN_pred"
"SEEDGWAS4185","CIMMYTMA-023705",-99.481779,21.69932,281.8673983,384.077536,263.3149615,72.21673466,77.91926669,80.7958492,467.0443631,784.4596783,533.0027102,861.2648234
"SEEDGWAS1087","CIMMYTMA-000428",-100.21527,22.031961,286.927492,384.0775495,263.3149506,72.37824552,81.41747592,81.78211326,448.6973276,788.9391305,531.9287684,799.6459749
"SEEDGWAS4628","CIMMYTMA-017903",-100.21527,22.031961,286.927492,384.0775495,263.3149506,72.37824552,81.41747592,81.78211326,448.6973276,788.9391305,531.9287684,799.6459749
"SEEDGWAS3870","CIMMYTMA-005469",-99.836545,21.635442,285.1492374,384.077567,263.314949,72.51156923,79.74412042,83.56787808,456.2102269,781.5500138,544.0837963,857.1121638
"SEEDGWAS1840","CIMMYTMA-002540",-99.836545,21.635442,285.1492374,384.077567,263.314949,72.51156923,79.74412042,83.56787808,456.2102269,781.5500138,544.0837963,857.1121638
"SEEDGWAS3447","CIMMYTMA-005472",-99.816363,22.05427,285.109771,384.0775837,263.3149634,76.34453774,82.90662809,82.48395808,446.4327476,807.8102597,526.3782374,841.984772
"SEEDGWAS1088","CIMMYTMA-000436",-99.816363,22.05427,285.109771,384.0775837,263.3149634,76.34453774,82.90662809,82.48395808,446.4327476,807.8102597,526.3782374,841.984772
"SEEDGWAS1819","CIMMYTMA-018907",-99.88277778,21.71083333,285.4693949,384.0775264,263.3149542,72.35909097,81.07606748,81.90302838,455.924438,781.6260189,543.7120944,854.5993141
"SEEDGWAS1820","CIMMYTMA-018908",-99.883528,21.71058,281.2831322,384.0775299,263.3149469,72.35643128,79.48811896,82.13310468,473.1825523,781.332965,526.0839778,854.6997529
"SEEDGWAS1821","CIMMYTMA-018909",-99.9072222,21.7722222,287.047027,384.0775395,263.3149684,71.47983306,79.2130976,81.95178696,459.0245457,779.4753709,540.7480226,809.2867178
"SEEDGWAS2722","CIMMYTMA-001666",-101.116546,23.135074,287.7689531,384.077831,263.3149462,72.74044973,76.28349333,87.39947919,447.3731765,811.3603425,556.8065498,800.4575662
"SEEDGWAS4045","CIMMYTMA-000424",-99.9072222,21.7722222,287.047027,384.0775395,263.3149684,71.47983306,79.2130976,81.95178696,459.0245457,779.4753709,540.7480226,809.2867178
"SEEDGWAS4069","CIMMYTMA-005475",-99.9072222,21.7722222,287.047027,384.0775395,263.3149684,71.47983306,79.2130976,81.95178696,459.0245457,779.4753709,540.7480226,809.2867178
"SEEDGWAS2339","CIMMYTMA-000654",-99.9072222,21.7722222,287.047027,384.0775395,263.3149684,71.47983306,79.2130976,81.95178696,459.0245457,779.4753709,540.7480226,809.2867178
"SEEDGWAS1822","CIMMYTMA-018911",-99.9322222,21.79805556,288.1471403,384.0775806,263.3149684,72.36134544,80.36089401,82.42978807,459.5911621,804.9796791,548.6484625,810.062045
"SEEDGWAS2389","CIMMYTMA-002292",-99.59805556,21.91527778,281.7683097,384.0775604,263.3149597,76.65322314,80.69929728,83.57206922,483.4870133,810.6737612,545.0624376,863.1393523
"SEEDGWAS596","CIMMYTMA-000659",-99.57213,21.591941,280.9647708,384.0775416,263.3149609,72.55916978,79.91236601,81.62043186,479.2927941,781.3588968,521.6227033,856.9204212
"SEEDGWAS4070","CIMMYTMA-005476",-99.641767,21.850995,281.1997929,384.0775604,263.3149573,76.30131835,80.17046359,84.24799837,481.6022788,806.8158065,535.2636635,863.8468035
"SEEDGWAS3829","CIMMYTMA-002306",-111.497682,28.577104,295.9017414,384.0775148,263.3149581,72.23053508,77.40250337,83.77125522,446.0846107,802.2770241,505.843178,805.2127391
"SEEDGWAS1496","CIMMYTMA-007288",-108.931234,28.353628,257.8633934,384.0774815,263.3149816,73.93652235,79.73096361,91.12578854,449.936441,801.5944136,571.1392935,842.9312341
"SEEDGWAS3934","CIMMYTMA-007280",-108.924906,28.382437,259.7041239,384.077481,263.3149769,74.99737282,79.31536651,89.03549333,449.3450718,801.7820146,571.1603292,845.962212
"SEEDGWAS3935","CIMMYTMA-007292",-109.395459,28.975149,264.024412,384.077489,263.3149558,74.29065408,74.22856136,92.24506162,457.4728397,792.5276919,561.0475359,776.3281684
"SEEDGWAS3936","CIMMYTMA-007299",-109.395459,28.975149,264.024412,384.077489,263.3149558,74.29065408,74.22856136,92.24506162,457.4728397,792.5276919,561.0475359,776.3281684
"SEEDGWAS3938","CIMMYTMA-007307",-109.206195,28.980828,264.9151473,384.0774873,263.3149738,74.38572561,74.21521934,91.06689838,457.4728397,792.5123414,566.4963598,779.2419364
"SEEDGWAS3939","CIMMYTMA-007309",-109.1833333,28.93333333,266.1956285,384.0774925,263.3149929,73.6526709,74.47042402,91.82125549,450.5867127,791.4486031,563.2471537,777.5850151
"SEEDGWAS3940","CIMMYTMA-007311",-109.1833333,28.93333333,266.1956285,384.0774925,263.3149929,73.6526709,74.47042402,91.82125549,450.5867127,791.4486031,563.2471537,777.5850151
"SEEDGWAS2048","CIMMYTMA-007312",-109.1833333,28.93333333,266.1956285,384.0774925,263.3149929,73.6526709,74.47042402,91.82125549,450.5867127,791.4486031,563.2471537,777.5850151
"SEEDGWAS3942","CIMMYTMA-007318",-109.206195,28.980828,264.9151473,384.0774873,263.3149738,74.38572561,74.21521934,91.06689838,457.4728397,792.5123414,566.4963598,779.2419364
"SEEDGWAS3943","CIMMYTMA-007320",-109.233333,29.066667,265.801251,384.0774818,263.3149708,73.93383403,75.83626522,92.50995626,454.3931035,793.3576061,565.9883075,776.8187943
"SEEDGWAS3944","CIMMYTMA-007329",-110.1333333,29.01666667,266.0825013,384.0775473,263.314966,74.42493025,88.62776905,83.92654787,447.5431815,805.9021249,606.2892996,864.2549245
"SEEDGWAS3945","CIMMYTMA-007334",-110.05,29.06666667,265.6495727,384.0775481,263.3149642,73.95395734,89.76254342,84.56188546,447.1622002,799.5175737,561.0689619,870.4319595
"SEEDGWAS3946","CIMMYTMA-007335",-110.05,29.06666667,265.6495727,384.0775481,263.3149642,73.95395734,89.76254342,84.56188546,447.1622002,799.5175737,561.0689619,870.4319595
"SEEDGWAS3947","CIMMYTMA-007339",-110.1333333,29.21666667,267.7368595,384.0775127,263.314972,73.06522435,82.98593778,88.52982291,453.1263986,800.3022592,563.9767273,919.721484
"SEEDGWAS3948","CIMMYTMA-007343",-110.367266,29.43544,265.222105,384.0775487,263.314975,73.92195624,86.21207748,86.86052433,448.4272522,805.7680226,561.7684446,841.9449952
"SEEDGWAS3949","CIMMYTMA-007346",-109.432449,28.155757,270.9406087,384.0774871,263.3149558,73.06784091,77.68968673,90.49712143,459.801589,792.6864459,563.6094271,798.3030564
"SEEDGWAS4006","CIMMYTMA-020399",-110.367266,29.43544,265.222105,384.0775487,263.314975,73.92195624,86.21207748,86.86052433,448.4272522,805.7680226,561.7684446,841.9449952
"SEEDGWAS3803","CIMMYTMA-000375",-109.69121,29.799589,263.5199046,384.077528,263.3149606,73.97053293,72.71979997,85.83015794,455.6148507,800.1052475,594.3084951,776.4772823
"SEEDGWAS592","CIMMYTMA-000376",-110.95676,30.643365,265.2377079,384.0775187,263.3149769,73.2786242,72.91218271,82.6471773,443.4509818,792.6139341,559.7353749,759.1510467
"SEEDGWAS3813","CIMMYTMA-000636",-110.367266,29.43544,265.222105,384.0775487,263.314975,73.92195624,86.21207748,86.86052433,448.4272522,805.7680226,561.7684446,841.9449952
"SEEDGWAS3818","CIMMYTMA-001743",-110.367266,29.43544,265.222105,384.0775487,263.314975,73.92195624,86.21207748,86.86052433,448.4272522,805.7680226,561.7684446,841.9449952
"SEEDGWAS5305","CIMMYTMA-017918",-110.367266,29.43544,265.222105,384.0775487,263.314975,73.92195624,86.21207748,86.86052433,448.4272522,805.7680226,561.7684446,841.9449952
"SEEDGWAS3285","CIMMYTMA-017920",-109.887614,28.401756,268.1651703,384.0774984,263.3149667,75.16272896,77.40742336,82.8138543,463.3219771,792.4147089,561.4963777,792.7216656
"SEEDGWAS3800","CIMMYTMA-000371",-109.395459,28.975149,264.024412,384.077489,263.3149558,74.29065408,74.22856136,92.24506162,457.4728397,792.5276919,561.0475359,776.3281684
"SEEDGWAS112","CIMMYTMA-001945",-111.113435,30.544226,265.4361299,384.0775932,263.3149777,73.86955075,73.00668321,81.62224797,443.443973,810.0540669,596.6357432,765.7922531
"SEEDGWAS3923","CIMMYTMA-007252",-108.975724,27.048661,274.6051139,384.0774493,263.3149607,74.5957967,77.96635853,91.09974544,449.956818,790.9301656,563.3240206,820.754017
"SEEDGWAS3924","CIMMYTMA-007254",-108.9333333,27.03333333,266.9140044,384.0774572,263.3149587,75.43769321,95.11787513,90.91981049,446.0668385,790.908988,561.4165301,934.21828
"SEEDGWAS3925","CIMMYTMA-007255",-111.1166667,30.55,265.4539639,384.0775932,263.3149494,73.86955075,73.38789515,81.63270881,443.443973,810.0939232,617.7317693,764.4695256
"SEEDGWAS3926","CIMMYTMA-007256",-111.1166667,30.55,265.4539639,384.0775932,263.3149494,73.86955075,73.38789515,81.63270881,443.443973,810.0939232,617.7317693,764.4695256
"SEEDGWAS3927","CIMMYTMA-007257",-109.3333333,27.83333333,260.1201933,384.0774486,263.3149652,73.69127393,92.17139661,89.57397052,441.0477752,792.4696067,563.3840337,890.3187892
"SEEDGWAS3928","CIMMYTMA-007259",-109.3333333,27.83333333,260.1201933,384.0774486,263.3149652,73.69127393,92.17139661,89.57397052,441.0477752,792.4696067,563.3840337,890.3187892
"SEEDGWAS3929","CIMMYTMA-007260",-109.432449,28.155757,270.9406087,384.0774871,263.3149558,73.06784091,77.68968673,90.49712143,459.801589,792.6864459,563.6094271,798.3030564
"SEEDGWAS3930","CIMMYTMA-007261",-109.432449,28.155757,270.9406087,384.0774871,263.3149558,73.06784091,77.68968673,90.49712143,459.801589,792.6864459,563.6094271,798.3030564
"SEEDGWAS2047","CIMMYTMA-007266",-109.432449,28.155757,270.9406087,384.0774871,263.3149558,73.06784091,77.68968673,90.49712143,459.801589,792.6864459,563.6094271,798.3030564
"SEEDGWAS3931","CIMMYTMA-007267",-109.432449,28.155757,270.9406087,384.0774871,263.3149558,73.06784091,77.68968673,90.49712143,459.801589,792.6864459,563.6094271,798.3030564
"SEEDGWAS3234","CIMMYTMA-007272",-109.3,28.11666667,267.9676331,384.0774766,263.3149492,73.77523386,77.74325235,90.01739343,450.5867127,795.9099421,557.1514908,776.2722883
"SEEDGWAS1495","CIMMYTMA-007273",-109.3,28.11666667,267.9676331,384.0774766,263.3149492,73.77523386,77.74325235,90.01739343,450.5867127,795.9099421,557.1514908,776.2722883
"SEEDGWAS3932","CIMMYTMA-007274",-109.3,28.11666667,267.9676331,384.0774766,263.3149492,73.77523386,77.74325235,90.01739343,450.5867127,795.9099421,557.1514908,776.2722883
"SEEDGWAS3933","CIMMYTMA-007275",-109.3,28.26666667,259.5742615,384.0774426,263.3149544,73.73782604,74.11291579,89.58802759,453.0144505,794.0593023,565.0691289,784.0130865
"SEEDGWAS1710","CIMMYTMA-025057",-93.4,17.85,271.9171175,384.0775793,263.3149371,72.91688135,72.34189371,86.39313775,482.9862881,786.2146553,530.2329372,879.8461147
"SEEDGWAS1744","CIMMYTMA-025830",-93.2296,18.296126,263.9488115,384.0775826,263.3149784,72.8040715,77.86899553,82.40537857,468.3513366,792.4637412,545.8363819,904.5754762
"SEEDGWAS531","CIMMYTMA-025828",-92.81666667,17.6,271.1944385,384.0775638,263.3149283,72.66461984,74.39499106,86.58978902,467.5253728,786.704701,495.0890129,944.9369504
"SEEDGWAS2631","CIMMYTMA-024021",-99.71666667,23,285.8914528,384.077609,263.3149543,76.66534663,77.73609786,83.05767582,441.2580911,806.9259739,565.4576794,774.1029324
"SEEDGWAS2250","CIMMYTMA-024023",-99.31666667,22.83333333,260.5075334,384.0775592,263.314986,71.42463879,69.75742837,81.51517766,484.8628826,785.1196565,539.6595074,904.2847561
"SEEDGWAS501","CIMMYTMA-024979",-99.01666667,23.3,284.0421861,384.0775436,263.3149544,70.86643601,77.63438759,82.00872751,466.8615601,784.6278172,544.2499415,812.1794628
"SEEDGWAS1035","CIMMYTMA-025246",-98.43333333,22.81666667,277.7108043,384.0775822,263.3150032,72.34526408,70.98257071,82.04718454,509.0195555,802.9813036,527.8220941,847.924186
"SEEDGWAS500","CIMMYTMA-024957",-97.998902,22.43833,264.1970074,384.0775919,263.3149841,72.30039031,67.13627117,82.40092968,480.7373802,805.4344267,542.4577311,867.856354
