,SaID,AccID,Longitude,Latitude,Ann.Prc,TN,PBR,,,,,,,,,,,,,,,,,,,,,,
46,SEEDGWAS1108,CIMMYTMA-005943,-97.096379,16.35071,824,0.07,5.56,,,,,,,,,,,,,,,,,,,,,,
47,SEEDGWAS1109,CIMMYTMA-005946,-97.28339,16.233634,1242,0.59,7.71,,,,,,,,,,,,,,,,,,,,,,
48,SEEDGWAS1110,CIMMYTMA-007062,-104.088629,21.696608,534,0.22,20.15,,,,,,,,,,,,,,,,,,,,,,
49,SEEDGWAS1111,CIMMYTMA-008131,-91.4,14.616667,1156,0.5,5.1,,,,,,,,,,,,,,,,,,,,,,
50,SEEDGWAS1118,CIMMYTMA-013338,-92.138837,14.663195,2404,0.15,8.98,,,,,,,,,,,,,,,,,,,,,,
51,SEEDGWAS112,CIMMYTMA-001945,-111.113435,30.544226,369,0.38,22.51,,,,,,,,,,,,,,,,,,,,,,
52,SEEDGWAS1120,CIMMYTMA-013888,-102.7166667,19.96666667,907,0.17,20.15,,,,,,,,,,,,,,,,,,,,,,
53,SEEDGWAS1122,CIMMYTMA-014046,-96.282141,18.390306,1951,0.14,9.08,,,,,,,,,,,,,,,,,,,,,,
54,SEEDGWAS1126,CIMMYTMA-015356,-99,19.01666667,773,0.14,5.56,,,,,,,,,,,,,,,,,,,,,,
55,SEEDGWAS1128,CIMMYTMA-016175,-92.1,15.7,1509,0.43,7.07,,,,,,,,,,,,,,,,,,,,,,
56,SEEDGWAS1130,CIMMYTMA-016180,-93.76666667,16.08333333,1211,0.11,10.01,,,,,,,,,,,,,,,,,,,,,,
57,SEEDGWAS1131,CIMMYTMA-016206,-93.38333333,16.76666667,630,0.43,3.1,,,,,,,,,,,,,,,,,,,,,,
58,SEEDGWAS1133,CIMMYTMA-016306,-104.5333333,25.2,287,0.21,22.13,,,,,,,,,,,,,,,,,,,,,,
59,SEEDGWAS1134,CIMMYTMA-016367,-92.251361,15.37229,1934,0.28,2.46,,,,,,,,,,,,,,,,,,,,,,
60,SEEDGWAS1135,CIMMYTMA-018427,-97.020133,19.017868,1488,0.32,1.82,,,,,,,,,,,,,,,,,,,,,,
61,SEEDGWAS1136,CIMMYTMA-018516,-103.15,18.78333,815,0.16,8.7,,,,,,,,,,,,,,,,,,,,,,
62,SEEDGWAS114,CIMMYTMA-002107,-91.642471,18.04166,1649,0.32,15.52,,,,,,,,,,,,,,,,,,,,,,
63,SEEDGWAS1140,CIMMYTMA-019861,-97.03333333,19.08333333,1456,0.32,18.95,,,,,,,,,,,,,,,,,,,,,,
64,SEEDGWAS1141,CIMMYTMA-019958,-98.98333333,18.76666667,871,0.14,5.56,,,,,,,,,,,,,,,,,,,,,,
65,SEEDGWAS1142,CIMMYTMA-019969,-98.98333333,18.76666667,871,0.14,5.56,,,,,,,,,,,,,,,,,,,,,,
66,SEEDGWAS1143,CIMMYTMA-020330,-92.1,15.7,1509,0.43,7.07,,,,,,,,,,,,,,,,,,,,,,
67,SEEDGWAS1144,CIMMYTMA-021264,-99.385656,17.576119,876,0.14,8.2,,,,,,,,,,,,,,,,,,,,,,
68,SEEDGWAS1145,CIMMYTMA-021354,-97.1,19.11666667,1351,0.59,18.95,,,,,,,,,,,,,,,,,,,,,,
69,SEEDGWAS1146,CIMMYTMA-021364,-92.359949,16.352808,1034,0.23,5.33,,,,,,,,,,,,,,,,,,,,,,
70,SEEDGWAS1147,CIMMYTMA-023164,-92.711648,16.602202,948,0.23,9.59,,,,,,,,,,,,,,,,,,,,,,
71,SEEDGWAS1148,CIMMYTMA-023174,-92.68035,16.538454,963,0.23,9.59,,,,,,,,,,,,,,,,,,,,,,
72,SEEDGWAS115,CIMMYTMA-002110,-90.233333,19.766667,1134,0.75,5.33,,,,,,,,,,,,,,,,,,,,,,
73,SEEDGWAS1150,CIMMYTMA-023206,-92.68035,16.538454,963,0.23,9.59,,,,,,,,,,,,,,,,,,,,,,
74,SEEDGWAS1151,CIMMYTMA-023209,-92.711648,16.602202,948,0.23,9.59,,,,,,,,,,,,,,,,,,,,,,
75,SEEDGWAS1152,CIMMYTMA-023214,-92.711648,16.602202,948,0.23,9.59,,,,,,,,,,,,,,,,,,,,,,
76,SEEDGWAS1156,CIMMYTMA-025003,-92.73333333,15.86666667,1532,0.33,3.91,,,,,,,,,,,,,,,,,,,,,,
77,SEEDGWAS1157,CIMMYTMA-025022,-93.26666667,16.8,1049,0.43,3.1,,,,,,,,,,,,,,,,,,,,,,
78,SEEDGWAS116,CIMMYTMA-002114,-91.759457,18.658723,1354,0.14,17.76,,,,,,,,,,,,,,,,,,,,,,
79,SEEDGWAS1166,CIMMYTMA-000064,-101.303874,17.678521,941,0.59,7.74,,,,,,,,,,,,,,,,,,,,,,
80,SEEDGWAS1167,CIMMYTMA-000117,-98.03333333,16.33333333,1416,0.32,5.07,,,,,,,,,,,,,,,,,,,,,,
81,SEEDGWAS1168,CIMMYTMA-000125,-97.816661,16.95513,1287,0.59,3.68,,,,,,,,,,,,,,,,,,,,,,
82,SEEDGWAS1169,CIMMYTMA-000136,-96.46666667,15.75,1001,0.12,20.17,,,,,,,,,,,,,,,,,,,,,,
83,SEEDGWAS117,CIMMYTMA-002118,-90.740704,18.572773,1286,0.32,5.96,,,,,,,,,,,,,,,,,,,,,,
84,SEEDGWAS1170,CIMMYTMA-000143,-103.666667,18.75,738,0.32,8.7,,,,,,,,,,,,,,,,,,,,,,
85,SEEDGWAS1171,CIMMYTMA-000147,-102.833333,19.183333,839,0.13,12.24,,,,,,,,,,,,,,,,,,,,,,
86,SEEDGWAS1172,CIMMYTMA-000149,-102.363626,18.808584,755,0.13,10.48,,,,,,,,,,,,,,,,,,,,,,
87,SEEDGWAS1173,CIMMYTMA-000150,-102.373599,19.08164,753,0.13,4.86,,,,,,,,,,,,,,,,,,,,,,
88,SEEDGWAS1174,CIMMYTMA-000163,-102.373599,19.08164,753,0.13,4.86,,,,,,,,,,,,,,,,,,,,,,
89,SEEDGWAS1175,CIMMYTMA-000165,-102.373599,19.08164,753,0.13,4.86,,,,,,,,,,,,,,,,,,,,,,
90,SEEDGWAS1176,CIMMYTMA-000186,-99.365802,16.801211,1186,0.32,7.74,,,,,,,,,,,,,,,,,,,,,,
91,SEEDGWAS1177,CIMMYTMA-000205,-100.69796,18.300591,895,0.04,13.24,,,,,,,,,,,,,,,,,,,,,,
92,SEEDGWAS1178,CIMMYTMA-000213,-100.249473,18.298628,902,0.04,7.07,,,,,,,,,,,,,,,,,,,,,,
93,SEEDGWAS1179,CIMMYTMA-000261,-98.06005,16.409733,1288,0.32,5.07,,,,,,,,,,,,,,,,,,,,,,
94,SEEDGWAS118,CIMMYTMA-002140,-93.101655,16.635756,854,0.43,3.1,,,,,,,,,,,,,,,,,,,,,,
95,SEEDGWAS1180,CIMMYTMA-000262,-98.281497,16.735414,1406,0.32,5.07,,,,,,,,,,,,,,,,,,,,,,
96,SEEDGWAS1183,CIMMYTMA-000417,-99.205617,24.041477,732,0.14,10.31,,,,,,,,,,,,,,,,,,,,,,
97,SEEDGWAS1184,CIMMYTMA-000472,-97.097646,20.480001,1479,0.15,7.97,,,,,,,,,,,,,,,,,,,,,,
98,SEEDGWAS1185,CIMMYTMA-000505,-93.26666667,16.25,1184,0.33,3.91,,,,,,,,,,,,,,,,,,,,,,
99,SEEDGWAS1187,CIMMYTMA-000587,-105.22623,22.024349,1431,0.18,14.5,,,,,,,,,,,,,,,,,,,,,,
100,SEEDGWAS1188,CIMMYTMA-000601,-104.344955,19.772796,939,0.16,12.24,,,,,,,,,,,,,,,,,,,,,,
